
//-- 19.08.2015 19:22:22  -----------------------------

287  12:22:03 GetServerVersion97 result 0
288  12:22:03 GetServerVersion97 on 4
289  12:22:03 GetServerVersion97 result 0
290  12:22:03 GetServerVersion97 on 5
291  12:22:03 GetServerVersion97 result 0
292  12:22:03 GetServerVersion97 on 6
293  12:22:03 GetServerVersion97 result 0
294  12:22:03 GetServerVersion97 on 7
295  12:22:03 GetServerVersion97 result 0
296  12:22:03 GetServerVersion97 on 8
297  12:22:03 GetServerVersion97 result 0
298  12:22:03 GetServerVersion97 on 9
299  12:22:03 GetServerVersion97 result 0
300  12:22:03 GetServerVersion97 on 10
301  12:22:03 GetServerVersion97 result 0
302  12:22:03 GetServerVersion97 on 11
303  12:22:03 GetServerVersion97 result 0
304  12:22:03 GetServerVersion97 on 12
305  12:22:03 GetServerVersion97 result 0
306  12:22:13 GetServerVersion97 on 0
307  12:22:13 GetServerVersion97 result 0
308  12:22:13 GetServerVersion97 on 1
309  12:22:13 GetServerVersion97 result 0
310  12:22:13 GetServerVersion97 on 2
311  12:22:13 GetServerVersion97 result 0
312  12:22:13 GetServerVersion97 on 3
313  12:22:13 GetServerVersion97 result 0
314  12:22:13 GetServerVersion97 on 4
315  12:22:13 GetServerVersion97 result 0
316  12:22:13 GetServerVersion97 on 5
317  12:22:13 GetServerVersion97 result 0
318  12:22:13 GetServerVersion97 on 6
319  12:22:13 GetServerVersion97 result 0
320  12:22:13 GetServerVersion97 on 7
321  12:22:13 GetServerVersion97 result 0
322  12:22:13 GetServerVersion97 on 8
323  12:22:13 GetServerVersion97 result 0
324  12:22:13 GetServerVersion97 on 9
325  12:22:13 GetServerVersion97 result 0
326  12:22:13 GetServerVersion97 on 10
327  12:22:13 GetServerVersion97 result 0
328  12:22:13 GetServerVersion97 on 11
329  12:22:13 GetServerVersion97 result 0
330  12:22:13 GetServerVersion97 on 12
331  12:22:13 GetServerVersion97 result 0
332  12:22:23 GetServerVersion97 on 0
333  12:22:23 GetServerVersion97 result 0
334  12:22:23 GetServerVersion97 on 1
335  12:22:23 GetServerVersion97 result 0
336  12:22:23 GetServerVersion97 on 2
337  12:22:23 GetServerVersion97 result 0
338  12:22:23 GetServerVersion97 on 3
339  12:22:23 GetServerVersion97 result 0
340  12:22:23 GetServerVersion97 on 4
341  12:22:23 GetServerVersion97 result 0
342  12:22:23 GetServerVersion97 on 5
343  12:22:23 GetServerVersion97 result 0
344  12:22:23 GetServerVersion97 on 6
345  12:22:23 GetServerVersion97 result 0
346  12:22:23 GetServerVersion97 on 7
347  12:22:23 GetServerVersion97 result 0
348  12:22:23 GetServerVersion97 on 8
349  12:22:23 GetServerVersion97 result 0
350  12:22:23 GetServerVersion97 on 9
351  12:22:23 GetServerVersion97 result 0
352  12:22:23 GetServerVersion97 on 10
353  12:22:23 GetServerVersion97 result 0
354  12:22:23 GetServerVersion97 on 11
355  12:22:23 GetServerVersion97 result 0
356  12:22:23 GetServerVersion97 on 12
357  12:22:23 GetServerVersion97 result 0
358  12:22:33 GetServerVersion97 on 0
359  12:22:33 GetServerVersion97 result 0
360  12:22:33 GetServerVersion97 on 1
361  12:22:33 GetServerVersion97 result 0
362  12:22:33 GetServerVersion97 on 2
363  12:22:33 GetServerVersion97 result 0
364  12:22:33 GetServerVersion97 on 3
365  12:22:33 GetServerVersion97 result 0
366  12:22:33 GetServerVersion97 on 4
367  12:22:33 GetServerVersion97 result 0
368  12:22:33 GetServerVersion97 on 5
369  12:22:33 GetServerVersion97 result 0
370  12:22:33 GetServerVersion97 on 6
371  12:22:33 GetServerVersion97 result 0
372  12:22:33 GetServerVersion97 on 7
373  12:22:33 GetServerVersion97 result 0
374  12:22:33 GetServerVersion97 on 8
375  12:22:33 GetServerVersion97 result 0
376  12:22:33 GetServerVersion97 on 9
377  12:22:33 GetServerVersion97 result 0
378  12:22:33 GetServerVersion97 on 10
379  12:22:33 GetServerVersion97 result 0
380  12:22:33 GetServerVersion97 on 11
381  12:22:33 GetServerVersion97 result 0
382  12:22:33 GetServerVersion97 on 12
383  12:22:33 GetServerVersion97 result 0
384  12:22:43 GetServerVersion97 on 0
385  12:22:43 GetServerVersion97 result 0
386  12:22:43 GetServerVersion97 on 1
387  12:22:43 GetServerVersion97 result 0
388  12:22:43 GetServerVersion97 on 2
389  12:22:43 GetServerVersion97 result 0
390  12:22:43 GetServerVersion97 on 3
391  12:22:43 GetServerVersion97 result 0
392  12:22:43 GetServerVersion97 on 4
393  12:22:43 GetServerVersion97 result 0
394  12:22:43 GetServerVersion97 on 5
395  12:22:43 GetServerVersion97 result 0
396  12:22:43 GetServerVersion97 on 6
397  12:22:43 GetServerVersion97 result 0
398  12:22:43 GetServerVersion97 on 7
399  12:22:43 GetServerVersion97 result 0
400  12:22:43 GetServerVersion97 on 8
401  12:22:43 GetServerVersion97 result 0
402  12:22:43 GetServerVersion97 on 9
403  12:22:43 GetServerVersion97 result 0
404  12:22:43 GetServerVersion97 on 10
405  12:22:43 GetServerVersion97 result 0
406  12:22:43 GetServerVersion97 on 11
407  12:22:43 GetServerVersion97 result 0
408  12:22:43 GetServerVersion97 on 12
409  12:22:43 GetServerVersion97 result 0
410  12:22:53 GetServerVersion97 on 0
411  12:22:53 GetServerVersion97 result 0
412  12:22:53 GetServerVersion97 on 1
413  12:22:53 GetServerVersion97 result 0
414  12:22:53 GetServerVersion97 on 2
415  12:22:53 GetServerVersion97 result 0
416  12:22:53 GetServerVersion97 on 3
417  12:22:53 GetServerVersion97 result 0
418  12:22:53 GetServerVersion97 on 4
419  12:22:53 GetServerVersion97 result 0
420  12:22:53 GetServerVersion97 on 5
421  12:22:53 GetServerVersion97 result 0
422  12:22:53 GetServerVersion97 on 6
423  12:22:53 GetServerVersion97 result 0
424  12:22:53 GetServerVersion97 on 7
425  12:22:53 GetServerVersion97 result 0
426  12:22:53 GetServerVersion97 on 8
427  12:22:53 GetServerVersion97 result 0
428  12:22:53 GetServerVersion97 on 9
429  12:22:53 GetServerVersion97 result 0
430  12:22:53 GetServerVersion97 on 10
431  12:22:53 GetServerVersion97 result 0
432  12:22:53 GetServerVersion97 on 11
433  12:22:53 GetServerVersion97 result 0
434  12:22:53 GetServerVersion97 on 12
435  12:22:53 GetServerVersion97 result 0
436  12:23:03 GetServerVersion97 on 0
437  12:23:03 GetServerVersion97 result 0
438  12:23:03 GetServerVersion97 on 1
439  12:23:03 GetServerVersion97 result 0
440  12:23:03 GetServerVersion97 on 2
441  12:23:03 GetServerVersion97 result 0
442  12:23:03 GetServerVersion97 on 3
443  12:23:03 GetServerVersion97 result 0
444  12:23:03 GetServerVersion97 on 4
445  12:23:03 GetServerVersion97 result 0
446  12:23:03 GetServerVersion97 on 5
447  12:23:03 GetServerVersion97 result 0
448  12:23:03 GetServerVersion97 on 6
449  12:23:03 GetServerVersion97 result 0
450  12:23:03 GetServerVersion97 on 7
451  12:23:03 GetServerVersion97 result 0
452  12:23:03 GetServerVersion97 on 8
453  12:23:03 GetServerVersion97 result 0
454  12:23:03 GetServerVersion97 on 9
455  12:23:03 GetServerVersion97 result 0
456  12:23:03 GetServerVersion97 on 10
457  12:23:03 GetServerVersion97 result 0
458  12:23:03 GetServerVersion97 on 11
459  12:23:03 GetServerVersion97 result 0
460  12:23:03 GetServerVersion97 on 12
461  12:23:03 GetServerVersion97 result 0
462  12:23:13 GetServerVersion97 on 0
463  12:23:13 GetServerVersion97 result 0
464  12:23:13 GetServerVersion97 on 1
465  12:23:13 GetServerVersion97 result 0
466  12:23:13 GetServerVersion97 on 2
467  12:23:13 GetServerVersion97 result 0
468  12:23:13 GetServerVersion97 on 3
469  12:23:13 GetServerVersion97 result 0
470  12:23:13 GetServerVersion97 on 4
471  12:23:13 GetServerVersion97 result 0
472  12:23:13 GetServerVersion97 on 5
473  12:23:13 GetServerVersion97 result 0
474  12:23:13 GetServerVersion97 on 6
475  12:23:13 GetServerVersion97 result 0
476  12:23:13 GetServerVersion97 on 7
477  12:23:13 GetServerVersion97 result 0
478  12:23:13 GetServerVersion97 on 8
479  12:23:13 GetServerVersion97 result 0
480  12:23:13 GetServerVersion97 on 9
481  12:23:13 GetServerVersion97 result 0
482  12:23:13 GetServerVersion97 on 10
483  12:23:13 GetServerVersion97 result 0
484  12:23:13 GetServerVersion97 on 11
485  12:23:13 GetServerVersion97 result 0
486  12:23:13 GetServerVersion97 on 12
487  12:23:13 GetServerVersion97 result 0
488  12:23:23 GetServerVersion97 on 0
489  12:23:23 GetServerVersion97 result 0
490  12:23:23 GetServerVersion97 on 1
491  12:23:23 GetServerVersion97 result 0
492  12:23:23 GetServerVersion97 on 2
493  12:23:23 GetServerVersion97 result 0
494  12:23:23 GetServerVersion97 on 3
495  12:23:23 GetServerVersion97 result 0
496  12:23:23 GetServerVersion97 on 4
497  12:23:23 GetServerVersion97 result 0
498  12:23:23 GetServerVersion97 on 5
499  12:23:23 GetServerVersion97 result 0
500  12:23:23 GetServerVersion97 on 6
501  12:23:23 GetServerVersion97 result 0
502  12:23:23 GetServerVersion97 on 7
503  12:23:23 GetServerVersion97 result 0
504  12:23:23 GetServerVersion97 on 8
505  12:23:23 GetServerVersion97 result 0
506  12:23:23 GetServerVersion97 on 9
507  12:23:23 GetServerVersion97 result 0
508  12:23:23 GetServerVersion97 on 10
509  12:23:23 GetServerVersion97 result 0
510  12:23:23 GetServerVersion97 on 11
511  12:23:23 GetServerVersion97 result 0
512  12:23:23 GetServerVersion97 on 12
513  12:23:23 GetServerVersion97 result 0
514  12:23:33 GetServerVersion97 on 0
515  12:23:33 GetServerVersion97 result 0
516  12:23:33 GetServerVersion97 on 1
517  12:23:33 GetServerVersion97 result 0
518  12:23:33 GetServerVersion97 on 2
519  12:23:33 GetServerVersion97 result 0
520  12:23:33 GetServerVersion97 on 3
521  12:23:33 GetServerVersion97 result 0
522  12:23:33 GetServerVersion97 on 4
523  12:23:33 GetServerVersion97 result 0
524  12:23:33 GetServerVersion97 on 5
525  12:23:33 GetServerVersion97 result 0
526  12:23:33 GetServerVersion97 on 6
527  12:23:33 GetServerVersion97 result 0
528  12:23:33 GetServerVersion97 on 7
529  12:23:33 GetServerVersion97 result 0
530  12:23:33 GetServerVersion97 on 8
531  12:23:33 GetServerVersion97 result 0
532  12:23:33 GetServerVersion97 on 9
533  12:23:33 GetServerVersion97 result 0
534  12:23:33 GetServerVersion97 on 10
535  12:23:33 GetServerVersion97 result 0
536  12:23:33 GetServerVersion97 on 11
537  12:23:33 GetServerVersion97 result 0
538  12:23:33 GetServerVersion97 on 12
539  12:23:33 GetServerVersion97 result 0
540  12:23:43 GetServerVersion97 on 0
541  12:23:43 GetServerVersion97 result 0
542  12:23:43 GetServerVersion97 on 1
543  12:23:43 GetServerVersion97 result 0
544  12:23:43 GetServerVersion97 on 2
545  12:23:43 GetServerVersion97 result 0
